,x_noise,y_noise,z_noise,Success,trans_err,quat_dist
0,0.0,0.0,0.0,False,0.0,0.0
1,-0.01,0.01,0.0,False,-0.01414213562373095,0.0
2,0.01,0.01,0.0,False,0.01414213562373095,0.0
3,0.02,0.02,0.0,False,0.0282842712474619,0.0
4,-0.02,0.02,0.0,False,-0.0282842712474619,0.0
5,0.0,0.02,0.0,False,0.0,0.0
6,-0.01,0.02,0.0,False,-0.022360679774997897,0.0
7,0.01,0.02,0.0,False,0.022360679774997897,0.0
8,0.0,0.025,0.0,False,0.0,0.0
9,0.01,0.025,0.0,False,0.026925824035672525,0.0
10,0.02,0.025,0.0,False,0.032015621187164243,0.0
11,-0.01,0.025,0.0,False,-0.026925824035672525,0.0
12,-0.02,0.025,0.0,False,-0.032015621187164243,0.0
13,-0.02,0.015,0.0,False,-0.025,0.0
14,0.02,0.015,0.0,False,0.025,0.0
